date,value
2010-07-30,57
2010-07-31,60
2010-08-01,61
2010-08-02,63
2010-08-03,62
2010-08-04,62
2010-08-05,60
2010-08-06,59
2010-08-07,58
2010-08-08,58
2010-08-09,53
2010-08-10,50
2010-08-11,48
2010-08-12,48
2010-08-13,48
2010-08-14,48
2010-08-15,48
2010-08-16,47
2010-08-17,47
2010-08-18,41
2010-08-19,40
2010-08-20,39
2010-08-21,38
2010-08-22,36
2010-08-23,34
2010-08-24,32
2010-08-25,31
2010-08-26,36
2010-08-27,34
2010-08-28,33
2010-08-29,35
2010-08-30,29
2010-08-31,31
2010-09-01,34
2010-09-02,37
2010-09-03,36
2010-09-04,36
2010-09-05,36
2010-09-06,36
2010-09-07,40
2010-09-08,43
2010-09-09,48
2010-09-10,50
2010-09-11,52
2010-09-12,53
2010-09-13,54
2010-09-14,56
2010-09-15,58
2010-09-16,58
2010-09-17,59
2010-09-18,59
2010-09-19,60
2010-09-20,59
2010-09-21,56
2010-09-22,51
2010-09-23,53
2010-09-24,54
2010-09-25,55
2010-09-26,56
2010-09-27,57
2010-09-28,60
2010-09-29,62
2010-09-30,68
2010-10-01,67
2010-10-02,66
2010-10-03,65
2010-10-04,69
2010-10-05,68
2010-10-06,68
2010-10-07,67
2010-10-08,67
2010-10-09,67
2010-10-10,67
2010-10-11,67
2010-10-12,71
2010-10-13,74
2010-10-14,75
2010-10-15,76
2010-10-16,73
2010-10-17,71
2010-10-18,72
2010-10-19,71
2010-10-20,70
2010-10-21,70
2010-10-22,72
2010-10-23,72
2010-10-24,73
2010-10-25,72
2010-10-26,75
2010-10-27,75
2010-10-28,75
2010-10-29,75
2010-10-30,75
2010-10-31,75
2010-11-01,77
2010-11-02,81
2010-11-03,85
2010-11-04,88
2010-11-05,88
2010-11-06,88
2010-11-07,88
2010-11-08,87
2010-11-09,85
2010-11-10,81
2010-11-11,77
2010-11-12,75
2010-11-13,73
2010-11-14,67
2010-11-15,61
2010-11-16,59
2010-11-17,58
2010-11-18,60
2010-11-19,59
2010-11-20,57
2010-11-21,55
2010-11-22,47
2010-11-23,51
2010-11-24,54
2010-11-25,55
2010-11-26,54
2010-11-27,53
2010-11-28,52
2010-11-29,46
2010-11-30,59
2010-12-01,65
2010-12-02,64
2010-12-03,63
2010-12-04,62
2010-12-05,66
2010-12-06,66
2010-12-07,70
2010-12-08,71
2010-12-09,73
2010-12-10,72
2010-12-11,72
2010-12-12,72
2010-12-13,72
2010-12-14,73
2010-12-15,75
2010-12-16,71
2010-12-17,73
2010-12-18,75
2010-12-19,77
2010-12-20,79
2010-12-21,80
2010-12-22,79
2010-12-23,79
2010-12-24,79
2010-12-25,79
2010-12-26,80
2010-12-27,81
2010-12-28,79
2010-12-29,75
2010-12-30,69
2010-12-31,69
2011-01-01,69
2011-01-02,70
2011-01-03,71
2011-01-04,73
2011-01-05,70
2011-01-06,69
2011-01-07,67
2011-01-08,65
2011-01-09,62
2011-01-10,63
2011-01-11,61
2011-01-12,64
2011-01-13,64
2011-01-14,65
2011-01-15,67
2011-01-16,67
2011-01-17,67
2011-01-18,62
2011-01-19,55
2011-01-20,52
2011-01-21,50
2011-01-22,49
2011-01-23,49
2011-01-24,49
2011-01-25,47
2011-01-26,46
2011-01-27,47
2011-01-28,43
2011-01-29,43
2011-01-30,43
2011-01-31,44
2011-02-01,44
2011-02-02,45
2011-02-03,47
2011-02-04,50
2011-02-05,53
2011-02-06,57
2011-02-07,60
2011-02-08,57
2011-02-09,54
2011-02-10,57
2011-02-11,58
2011-02-12,59
2011-02-13,58
2011-02-14,57
2011-02-15,60
2011-02-16,63
2011-02-17,59
2011-02-18,62
2011-02-19,54
2011-02-20,48
2011-02-21,44
2011-02-22,41
2011-02-23,39
2011-02-24,41
2011-02-25,44
2011-02-26,45
2011-02-27,46
2011-02-28,43
2011-03-01,41
2011-03-02,39
2011-03-03,42
2011-03-04,37
2011-03-05,35
2011-03-06,33
2011-03-07,30
2011-03-08,30
2011-03-09,26
2011-03-10,21
2011-03-11,20
2011-03-12,19
2011-03-13,18
2011-03-14,14
2011-03-15,9
2011-03-16,9
2011-03-17,10
2011-03-18,11
2011-03-19,12
2011-03-20,13
2011-03-21,14
2011-03-22,16
2011-03-23,18
2011-03-24,19
2011-03-25,20
2011-03-26,21
2011-03-27,23
2011-03-28,25
2011-03-29,26
2011-03-30,26
2011-03-31,26
2011-04-01,28
2011-04-02,28
2011-04-03,29
2011-04-04,31
2011-04-05,34
2011-04-06,37
2011-04-07,40
2011-04-08,39
2011-04-09,39
2011-04-10,36
2011-04-11,29
2011-04-12,32
2011-04-13,35
